algoritmo,tamano,tiempo,complejidad,operaciones_reales,operaciones_normalizadas,ratio_ops_tamano,log_operaciones,log_tamano,tiempo_normalizado
insertion_sort,550,0.008126926422119141,O(n^2),150360,0.497056208078651,273.3818181818182,11.920794348360973,6.311734809152915,2.6865783657307385e-08
insertion_sort,660,0.012660551071166991,O(n^2),225050,0.5166425237774936,340.9848484848485,12.324082322168216,6.493753839851686,2.906455924381944e-08
merge_sort,10,1.6498565673828126e-05,O(n log n),114,1.1287128712871286,11.4,4.74493212836325,2.3978952727983707,1.633521353844369e-07
merge_sort,15,2.830028533935547e-05,O(n log n),199,0.8805309734513275,13.266666666666667,5.298317366548036,2.772588722239781,1.2522250150157286e-07
merge_sort,20,3.838539123535156e-05,O(n log n),292,0.7281795511221946,14.6,5.680172609017068,3.044522437723423,9.572416766920589e-08
merge_sort,25,3.628730773925781e-05,O(n log n),394,0.6293929712460063,15.76,5.978885764901122,3.258096538021482,5.796694527037989e-08
merge_sort,30,4.329681396484375e-05,O(n log n),490,0.5438401775804661,16.333333333333332,6.19644412779452,3.4339872044851463,4.8054177541447e-08
merge_sort,50,8.075237274169922e-05,O(n log n),924,0.36945221911235504,18.48,6.829793737512425,3.9318256327243257,3.2288033883126436e-08
merge_sort,75,0.0001761913299560547,O(n log n),1514,0.26910771418414503,20.186666666666667,7.323170717943469,4.330733340286331,3.1317335576973816e-08
merge_sort,100,0.0002221822738647461,O(n log n),2130,0.21297870212978703,21.3,7.664346632098617,4.61512051684126,2.221600578589602e-08
merge_sort,150,0.0002990450177873884,O(n log n),3508,0.15590418203635395,23.386666666666667,8.163086375583216,5.017279836814924,1.3290298999483951e-08
merge_sort,200,0.00040646961757114956,O(n log n),4902,0.12254693632659183,24.51,8.497602541651233,5.303304908059076,1.0161486402118686e-08
merge_sort,210,0.00044001851763044087,O(n log n),5156,0.11691344867463323,24.552380952380954,8.548110294050959,5.351858133476067,9.977517916383775e-09
merge_sort,350,0.0007628917694091797,O(n log n),9436,0.07702794262903977,26.96,9.152393412021333,5.860786223465865,6.2276370756906455e-09
merge_sort,400,0.00098724365234375,O(n log n),10992,0.06869957062768357,27.48,9.305013985578864,5.993961427306569,6.170234263184293e-09
merge_sort,450,0.0011804580688476562,O(n log n),12558,0.062014508570328045,27.906666666666666,9.438192819018127,6.111467339502679,5.829393775080895e-09
merge_sort,550,0.0013494014739990235,O(n log n),15826,0.052317182422537446,28.774545454545454,9.669472621333282,6.311734809152915,4.46081657250397e-09
merge_sort,660,0.001606893539428711,O(n log n),19650,0.04511008927895023,29.772727272727273,9.885883506587767,6.493753839851686,3.6889115025647578e-09
quick_sort,10,1.2612342834472656e-05,O(n log n),82,0.8118811881188119,8.2,4.418840607796598,2.3978952727983707,1.2487468152943225e-07
quick_sort,15,1.9073486328125e-05,O(n log n),179,0.7920353982300885,11.933333333333334,5.19295685089021,2.772588722239781,8.439595720409292e-08
quick_sort,20,2.4700164794921874e-05,O(n log n),246,0.6134663341645885,12.3,5.5093883366279774,3.044522437723423,6.159642093496727e-08
quick_sort,25,3.561973571777344e-05,O(n log n),351,0.560702875399361,14.04,5.863631175598097,3.258096538021482,5.6900536290372905e-08
quick_sort,30,2.944469451904297e-05,O(n log n),391,0.4339622641509434,13.033333333333333,5.971261839790462,3.4339872044851463,3.2680016114365115e-08
quick_sort,50,6.299018859863281e-05,O(n log n),891,0.3562574970011995,17.82,6.79346613258001,3.9318256327243257,2.518600103903751e-08
quick_sort,75,9.801387786865235e-05,O(n log n),1434,0.254888019907572,19.12,7.268920128193722,4.330733340286331,1.7421592226920075e-08
quick_sort,100,0.00016052722930908202,O(n log n),2055,0.2054794520547945,20.55,7.628517626575055,4.61512051684126,1.605111781912629e-08
quick_sort,150,0.0002170971461704799,O(n log n),3431,0.1524821119061375,22.873333333333335,8.140898460607852,5.017279836814924,9.648333237210786e-09
quick_sort,200,0.00039196014404296875,O(n log n),5378,0.13444663883402916,26.89,8.590257762273243,5.303304908059076,9.798758632108416e-09
quick_sort,210,0.00031379290989467075,O(n log n),5155,0.11689077345184916,24.547619047619047,8.547916364059079,5.351858133476067,7.115324139921334e-09
quick_sort,350,0.0007102489471435547,O(n log n),11070,0.09036660925216937,31.62857142857143,9.312084355859467,5.860786223465865,5.797903259104453e-09
quick_sort,400,0.0007971763610839844,O(n log n),12922,0.08076199523752976,32.305,9.466763948525191,5.993961427306569,4.982321117267919e-09
quick_sort,450,0.0009355545043945312,O(n log n),14817,0.0731700090369924,32.92666666666667,9.603597936976602,6.111467339502679,4.619999429111616e-09
quick_sort,550,0.0010886669158935546,O(n log n),17018,0.056257665263916484,30.94181818181818,9.742085645994678,6.311734809152915,3.5988869983687813e-09
quick_sort,660,0.001517915725708008,O(n log n),23404,0.053728067658246885,35.46060606060606,10.06070495373417,6.493753839851686,3.4846470180463494e-09
