algoritmo,tamano,tiempo,complejidad,operaciones_reales,operaciones_normalizadas,ratio_ops_tamano,log_operaciones,log_tamano,tiempo_normalizado
selection_sort,660,0.20310192108154296,O(n^2),436920,1.0030280003948568,662.0,12.987507679703372,6.493753839851686,4.662567833442599e-07
insertion_sort,10,0.0,O(n^2),46,0.45544554455445546,4.6,3.8501476017100584,2.3978952727983707,0.0
insertion_sort,15,0.0,O(n^2),140,0.6194690265486725,9.333333333333334,4.948759890378168,2.772588722239781,0.0
insertion_sort,20,0.00020031929016113282,O(n^2),270,0.6733167082294265,13.5,5.602118820879701,3.044522437723423,4.995493520227752e-07
insertion_sort,25,0.00010035037994384765,O(n^2),360,0.5750798722044729,14.4,5.8888779583328805,3.258096538021482,1.6030412131605056e-07
insertion_sort,30,0.00019986629486083983,O(n^2),484,0.537180910099889,16.133333333333333,6.184148890937483,3.4339872044851463,2.2182718630503867e-07
insertion_sort,50,0.0004005908966064453,O(n^2),1284,0.5133946421431428,25.68,7.158513997329321,3.9318256327243257,1.6017228972668746e-07
insertion_sort,75,0.0010014057159423828,O(n^2),2702,0.4802701741912549,36.026666666666664,7.902117546276448,4.330733340286331,1.7799603909391802e-07
insertion_sort,100,0.002203226089477539,O(n^2),4702,0.47015298470152983,47.02,8.455955881945048,4.61512051684126,2.2030057888986493e-07
insertion_sort,150,0.005866493497576032,O(n^2),11560,0.5137549442247011,77.06666666666666,9.355392643675321,5.017279836814924,2.60721456716414e-07
insertion_sort,200,0.010729755674089705,O(n^2),20518,0.5129371765705857,102.59,9.929106565153747,5.303304908059076,2.6823718592259456e-07
insertion_sort,210,0.00901334626334054,O(n^2),21936,0.49740368699122467,104.45714285714286,9.995929987925688,5.351858133476067,2.0437963455115622e-07
insertion_sort,350,0.022633457183837892,O(n^2),61380,0.5010571342274757,175.37142857142857,11.02485561999279,5.860786223465865,1.8476140753004377e-07
insertion_sort,400,0.028842735290527343,O(n^2),81730,0.5108093074418285,204.325,11.311188645844599,5.993961427306569,1.8026596890349026e-07
insertion_sort,450,0.03765616416931152,O(n^2),107870,0.5326887274630743,239.7111111111111,11.5886913477446,6.111467339502679,1.8595544796969656e-07
insertion_sort,550,0.052678155899047854,O(n^2),145508,0.48101659168068867,264.56,11.887993219350804,6.311734809152915,1.7414208845275835e-07
insertion_sort,660,0.0763132095336914,O(n^2),219392,0.5036535728797684,332.41212121212124,12.298619921118297,6.493753839851686,1.751906206222929e-07
